obra,pagina,termo,categoria_auto,gatilho_detectado,contexto_antes,trecho_central,contexto_depois,categoria_final,justificativa
latour_2013_aime_en,1,mobilize,figurativo,sem_gatilho,truly stupefying diversity of the entities that they have to,mobilize,"to do their work, continue in spite of everything (is",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilized,figurativo,sem_gatilho,"the beings that will be said to have been associated,",mobilized,"enrolled, translated, in order to participate in the situation. There",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,defend,figurativo,sem_gatilho,as are the values that the Moderns have learned to,defend,"At least we must hope that this is the case,",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,attacks,figurativo,sem_gatilho,"group of reliable witnesses, the skeptics had to multiply their",attacks,in order to show that unfortunate human minds always found,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,battle,figurativo,sem_gatilho,and it is probably on this subject that the endless,battle,between the skeptics and the rationalists has most distracted us,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilized,figurativo,sem_gatilho,"list of unexpected beings that have had to be enrolled,",mobilized,"shifted, translated in order to ensure its subsistence. The term",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,war,figurativo,sem_gatilho,may succeed and what may fail. A tool in the,war,"against the distinction between force and reason, it risked succumbing",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,attacking,figurativo,sem_gatilho,last accessible and also a hiker or climber capable of,attacking,it. Chains of reference are not rope bridges strung between,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilizes,figurativo,sem_gatilho,not be too quick to say that this grasp necessarily,mobilizes,either things or words or some application of words to,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,defensive,figurativo,sem_gatilho,Here an approach that is not so much positive as,defensive,will suffice to keep us from smoothing over all the,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,ally,figurativo,sem_gatilho,we have been using from the start rather too casu-,ally,though we shall really be able to account for its,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,conquered,figurativo,sem_gatilho,"contrary, they have settled in everywhere .Â€. . they have",conquered,the world and yet they still lack room! These internal,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,battles,figurativo,sem_gatilho,in the twentieth. But she understands now that these two,battles,"have ceased for want of combatants, or, more precisely, for",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,ally,figurativo,sem_gatilho,powers appropriately and would liberate the energies that are continu-,ally,hampered by the current arrangements; it is waiting for grave,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,battlefield,figurativo,sem_gatilho,"obeys the movement of knowledge, but for polem- ical reasons,",battlefield,"reasons. Although this straight Following what has just been said,",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilizing,figurativo,sem_gatilho,"put an end to debate, bring closure to controversies, by",mobilizing,"through various conduits, various ploys (which will never appear as",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,battle,figurativo,sem_gatilho,Removing Some Speech Impediments • The ancient version of this,battle,"is renewed from one century to the next through formulas,",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,attacks,figurativo,sem_gatilho,"basso continuo, from Socrates’s arguments—“You don’t know your geometry, Callicles!”—to",attacks,on the purported relativism of science studies. There are speakers,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,battle,figurativo,sem_gatilho,§1-ch5 crossing between two modes of veridiction for the great,battle,between demonstration and rhetoric. The investigator now knows the three,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,defending,figurativo,sem_gatilho,of values without a very strange feature that consists in,defending,"bracketing reality. certain values by saying at the outset that,",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilized,figurativo,sem_gatilho,some of the beings of the world—beings that have been,mobilized,"modified, disciplined, formed, morphed—such regular commerce, such efficient transactions, such",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,conquered,figurativo,sem_gatilho,who have always boasted 147 • §1-ch5 that they have,conquered,"unknown worlds and who, at the very moment when they",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,defending,figurativo,sem_gatilho,Why have they put themselves in the untenable position of,defending,values without giving themselves the means to defend them? Why,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,defend,figurativo,sem_gatilho,position of defending values without giving themselves the means to,defend,them? Why have they cast doubt on the mediations necessary,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,attacked,figurativo,sem_gatilho,of indignation uttered by those who felt they were being,attacked,If it is impossible to link manufacture and reality without,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,defend,figurativo,sem_gatilho,of networks) is shared both by those who want to,defend,values and by those who want to undermine them. Or,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,enemies,figurativo,sem_gatilho,real truth.” The advocates of the absolute have found the,enemies,"they deserve. As a result of this combat, in order",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,attacked,figurativo,sem_gatilho,previous chapter how the emergence of objective knowledge had inadvertently,attacked,as an imposture the ever-so-subtle and essential veridiction of politics,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,wars,figurativo,sem_gatilho,"art, or making chains of reference disappear, the same “image",wars,"continue for religions, the arts, morality, and the sciences. The",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,weapon,figurativo,sem_gatilho,they are impossible to secularize: they can decide on the,weapon,"the target, and the divinity to which they are going",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,war,figurativo,sem_gatilho,"during the process of endlessly extending the pioneering front, the",war,front of modernization. To discover exactly what to make of,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,conquered,figurativo,sem_gatilho,"he has exposed the snares of magic and, when he",conquered,"the world, it was in the style of Tintin in",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,war,figurativo,sem_gatilho,so mistaken about the visible when they head off to,war,"against the “occult powers”? Better, then, to be skeptical about",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,wars,figurativo,sem_gatilho,go on fighting. And it is truly a matter of,wars,here—even of massacres. The bonfires are still smoking with the,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,ally,figurativo,sem_gatilho,of mortals? Subsistence dearly bought. A little like the continu-,ally,"agitated balance, in meteorology, between the anticyclone and what is",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,attacking,figurativo,sem_gatilho,well or badly. What are these aliens capable of simultaneously,attacking,"the self, casting doubt on whether the target is the",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,ally,figurativo,sem_gatilho,But—and this is its essential feature—the figure can never actu-,ally,"detach itself, either, from the raw material. It always remains",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,defend,figurativo,sem_gatilho,unable to shelter the values they were claiming hypocritically to,defend,"It is only today, owing to completely different circumstances, that",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,enemies,figurativo,sem_gatilho,"be impossible to know, given that habit has so many",enemies,whether you want to protect a value by instituting it,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,besieged,figurativo,sem_gatilho,we shall never be civi- lized: we shall remain barbarians,besieged,by inhumans—and before Gaia we shall remain without a voice.,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,attacked,figurativo,sem_gatilho,"the Moderns: to extract a contrast of decided novelty, they",attacked,"another contrast, a wholly different one quite innocent of the",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,defend,figurativo,sem_gatilho,fall back on an ersatz solution that seems superficially to,defend,the values”—by placing them out of reach! Between this search,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,defend,figurativo,sem_gatilho,"be full, well rounded, and complete, the less it can",defend,itself against transformations. If there is anything guaranteed to produce,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,attacks,figurativo,sem_gatilho,"owner; it will be left without care, without defense against",attacks,it will encounter the beings of metamorphosis only as entities,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,defending,figurativo,sem_gatilho,abandonment to the “limits of reason” or the “necessity of,defending,"values.” How low they stoop, with this false respect! If",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,war,figurativo,sem_gatilho,of service. No more networks. Inanities. Platitudes. Preaching. Religions as,war,It is this instability that explains why people ← and,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,attack,figurativo,sem_gatilho,"underwent, and was unable to resist, many centuries later, an",attack,just as unfair as the one to which it was,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,defend,figurativo,sem_gatilho,"which amounts to the same thing), they can no longer",defend,their originality except by the most devastating of solutions: they,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,enemies,metalinguistico,"aspas=2, tar=1","Especially because, to convince the friends as well as the",enemies,"of the “things of religion,” she has at her disposal",metalinguistico,"automatico: aspas=2, tar=1"
latour_2013_aime_en,1,mobilizes,figurativo,sem_gatilho,that value has a common feature with the religious: it,mobilizes,"beings that are just as sensitive, although 328 Invoking the",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,defend,figurativo,sem_gatilho,make the “atmosphere of politics” breathable. How could our anthropologist,defend,that value if she first had to require all the,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,enemies,figurativo,sem_gatilho,the “bottom”; dispersal is guaranteed; no agreement is possible; the,enemies,are waiting outside to attack “us.” Why do we always,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,attack,figurativo,sem_gatilho,no agreement is possible; the enemies are waiting outside to,attack,“us.” Why do we always have to start over? Because,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,enemies,figurativo,sem_gatilho,Barbarians who threaten their existence and whom they treat as,enemies,And nothing in this movement ensures its duration; here is,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilization,figurativo,sem_gatilho,the hurdle race described in Chapter 4—but to ensure the,mobilization,361 • §3-ch13 of “the law as a whole” in,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,attacked,figurativo,sem_gatilho,complaints more or less well articulated by plaintiffs who feel,attacked,"for one reason or another in their property, their dignity,",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilize,metalinguistico,"aspas=2, tar=1","in one way or another, one step at a time,",mobilize,"“the law as a whole.” The test for the plaintiff,",metalinguistico,"automatico: aspas=2, tar=1"
latour_2013_aime_en,1,mobilized,figurativo,sem_gatilho,bypass among a set of principles that have just been,mobilized,"in toto to hold the affair together, and through a",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilize,figurativo,sem_gatilho,"better: it reassures. It even manages to circulate everywhere, to",mobilize,"the totality of law for every case, but with a",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilizing,figurativo,sem_gatilho,"What they mean by living, wanting, being able, deciding, calculating,",mobilizing,"undertaking, exchanging, owing, consuming, is all entirely situated in this",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilization,figurativo,sem_gatilho,stocks that nobody wants any longerÂ€. . .Â€and the immense,mobilization,of things and people; they say it is driven only,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilization,figurativo,sem_gatilho,"all things, hence- forth engaged in the same flows of",mobilization,"in the same history, 386 Speaking of Organization in Its",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,war,descritivo_historico,casa 'War and Peace',"no time to be afraid, even if the author of",War,and Peace lost his nerve when he thought he could,descritivo_historico,automatico: casa 'War and Peace'
latour_2013_aime_en,1,battle,figurativo,sem_gatilho,when he thought he could explain the chaos of the,Battle,of Borodino after the fact with a vast mechanistic metaphor,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,war,figurativo,sem_gatilho,"by a Clockmaker God, Tolstoy made contingency a necessity; the",War,turned out to be curiously pacified by the ineluctable unfolding,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilizing,figurativo,sem_gatilho,depends without having to slice it open. 411 ·Chapter 15·,Mobilizing,the Beings of Passionate Interest Whereas the whole is always,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilizing,figurativo,sem_gatilho,"to be caught on the fly, always in confined 414",Mobilizing,"the Beings of Passionate Interest • spaces, by the lasso",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilizing,figurativo,sem_gatilho,"political body is a phantom, yes, but it is 416",Mobilizing,the Beings of Passionate Interest • not an ectoplasm like,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,battle,figurativo,sem_gatilho,"pyramids, how could the most narcissistic general, before starting a",battle,not relate his own small size to the “forty centuries,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilizing,figurativo,sem_gatilho,"in 1904, or else spend a fortune on technology 418",Mobilizing,the Beings of Passionate Interest • to expand the reach,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilizing,figurativo,sem_gatilho,"because she often uncovers, in her insistent focus on 420",Mobilizing,"the Beings of Passionate Interest • domination, a risk of",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilizing,figurativo,sem_gatilho,"speak, slightly ahead of them—but not above or below 422",Mobilizing,the Beings of Passionate Interest • them—another linkage that she,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilizing,figurativo,sem_gatilho,"Tarde—yes, Tarde again—set us on the right path: everything 424",Mobilizing,the Beings of Passionate Interest • changes if we agree,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilization,figurativo,sem_gatilho,"we cannot count on a recognized term, we shall call",mobilization,"or, better yet, attachment [att]. What makes the extraction of",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilizing,figurativo,sem_gatilho,mistake of picturing a sui generis “Society” that would 426,Mobilizing,the Beings of Passionate Interest • exceed The Economy or,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,enemies,figurativo,sem_gatilho,"say that Peter and Paul, along with their friends and",enemies,"find themselves linked, attached, bound, interested, in long chains of",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilizing,figurativo,sem_gatilho,"out by what new break, what new discontinuity, what 428",Mobilizing,the Beings of Passionate Interest • new translation interest makes,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilizing,figurativo,sem_gatilho,among the critics of merchandising would know how to 430,Mobilizing,"the Beings of Passionate Interest • manufacture, package, market, and",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilization,figurativo,sem_gatilho,"will allow us to recognize the setting into motion, the",mobilization,"of things and people alike, on ever-broader scales, and that",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilizing,figurativo,sem_gatilho,described so well as a “world-economy” and from which 432,Mobilizing,the Beings of Passionate Interest • the disciplines of economization,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilization,figurativo,sem_gatilho,can be defined canonically by three features: a genre of,mobilization,"interest, valuation (there are no conventionally accepted terms)—but also a",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilizing,figurativo,sem_gatilho,"unemployed, the tasters, the innovators, all those who press, 434",Mobilizing,"the Beings of Passionate Interest • mill, steep, toss, and",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilizing,figurativo,sem_gatilho,standard- ized container that goes directly—quite indirectly—from producer to 436,Mobilizing,the Beings of Passionate Interest • consumer without any time,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilizing,figurativo,sem_gatilho,the scale of the unanticipated transformations that have ended up,mobilizing,"the entire Earth, from the polar ice cap to the",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilizing,figurativo,sem_gatilho,receipts he gets in lieu of the miller’s banknotes. 438,Mobilizing,the Beings of Passionate Interest • How could he guess,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilizing,figurativo,sem_gatilho,"interests, giving them back their heat, their violence, their 440",Mobilizing,the Beings of Passionate Interest • entanglements; what would have,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,war,figurativo,sem_gatilho,"already been raised for each mode, there that the interminable",war,between the two is nevertheless a new source of morality,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,mobilizing,figurativo,sem_gatilho,The whole key to learning the economic disciplines consists in,mobilizing,"the habits of numbering to make them serve the calibration,",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,war,figurativo,sem_gatilho,they’ve never tasted economic freedom. Not once in their interminable,war,short history have they managed to get away from between,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,war,figurativo,sem_gatilho,"could escape from all tyranny, from all maxi-transcendence. Has any",war,of religion done more than this one to cover first,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,enemies,figurativo,sem_gatilho,of this world.” All the more so because their class,enemies,"terrified, would have committed any crime to avoid the reign",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,wars,figurativo,sem_gatilho,"calculation, without experimentation, without groping. If it took so many",wars,of religion before anyone could dream of separating the State,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,wars,figurativo,sem_gatilho,"could dream of separating the State from religion, how many",wars,over The Economy” will we have to endure before we,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,wars,figurativo,sem_gatilho,respect the other of negotiations over values? modes? For new,wars,"a new peace. 475 W To avoid failure, we must",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,wars,figurativo,sem_gatilho,on the “hottest” zones of conflicts among values. For new,wars,a new peace. Identifying such zones and bringing together principals,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,war,figurativo,sem_gatilho,obviously presupposes a situation that is no longer that of,war,or at least no longer a situation of mindless confidence,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,war,figurativo,sem_gatilho,situation of mindless confidence in the rapid success of a,war,of conquest. The modernization front is such a state of,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,conquest,figurativo,sem_gatilho,mindless confidence in the rapid success of a war of,conquest,"The modernization front is such a state of war, not",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,war,figurativo,sem_gatilho,of conquest. The modernization front is such a state of,war,"not declared, perhaps, but all the more violent in that",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,war,metalinguistico,"aspas=2, tar=1","as a front in an explicitly declared conflict, with its",war,"objectives” spelled out at last! If it isn’t a war,",metalinguistico,"automatico: aspas=2, tar=1"
latour_2013_aime_en,1,war,metalinguistico,"aspas=4, tar=1",“war objectives” spelled out at last! If it isn’t a,war,let’s try to say who is the sovereign arbiter; if,metalinguistico,"automatico: aspas=4, tar=1"
latour_2013_aime_en,1,war,figurativo,sem_gatilho,who is the sovereign arbiter; if it is indeed a,war,let’s declare it for real and define its fronts and,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,war,figurativo,sem_gatilho,they are too sure of winning. Unless we are at,war,on two new fronts that modernism has been totally unable,figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,conquest,figurativo,sem_gatilho,they were the unique source of such movements of irreversible,conquest,"Now that others, everywhere, in the East and in the",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,war,figurativo,sem_gatilho,"of us Earthlings, or so we are told. A strange",war,"that we can only lose: if we win, we lose;",figurativo,automatico: sem_gatilho
latour_2013_aime_en,1,war,descritivo_historico,casa 'phony war',any importance to our survival. Now there’s a real “phony,war,"What we are fearful of hearing is, as Sloterdijk says,",descritivo_historico,automatico: casa 'phony war'
